title,year
Divine Melody,2003
Jishou F-Rank no Oniisama ga Game de Hyouka sareru Gakuen no Chouten ni Kunrin suru Sou desu yo?,2018
Buddy System,2002
Noodle Shop Affair,2002
My First Sex is... with a MUMMY!?,2016
Saikano Gaiden: Sekai no Hate ni wa Kimi to Futari de,2001
Kimimachi Terminal,2014
Cat's Love,2009
Maou no Amai Keiyaku,2009
Haruka: Beyond the Stream of Time,1999
Hanjuku Kajitsu,2011
Togabito to Melody,2009
Risetto!,2010
Nekonotemo,2014
Falling for Her,2019
Sono Dekiai ni wa Uso ga Aru.,2020
Atashi no Bambi,2011
Same Difference,2009
I Shall Seal the Heavens,2017
Yuri Yuri,2008
Tensei Pandemic,2017
Dolce,2007
Swipe Right for Love,2019
Intertwining Lives,2016
Truth or Dare (Taffy),2021
Kooporasu e Youkoso,2007
Bokura no Polaris,2012
Swallow the Whole World,2019
"Hensuki: Are you willing to fall in love with a pervert, as long as she’s a cutie?",2017
Shinnyuu Kinshi no Koi,2008
Peach Mermaid,2013
I'm Looking for the Princess,2008
Hagure Roji,2017
Tengu Datte Koi wo Suru,2017
World Customize Creator,2013
Juujika Triangle,2000
Dark Seed,2006
Ice Ice Baby,1998
Karen ni Musashi,2010
Worlds,1990
Uso to Makoto,2012
Naymeru Hime to Mayoeru Ouji,2007
Akuno Himitsu Kessha,2011
Tsukigui Youma Taijishi,2011
Senpai no Pocket,2008
Kataomoi Couple,2013
Warui Ko dakedo Aishiteyo,2016
Koisuru Michiru Ojou-sama,2012
Tanoshii Fuyuyasumi,1992
"Ikenai Koto, Shiyo?",2018
Heroman,2009
King & Prince + Kaiser,2009
Kokuhaku Gokko,2005
Kiss kara Hajimaru,2003
Shijin wa Ichinichi ni Shite Narazu,1997
Body Language (Light Novel),2004
Kuu-chan ga Iku,2001
Orthoros,2012
Tetsunaki no Kirinji,2012
Tsuki ni Ookami,2005
My Hero Academia Special Spin-Off: Endeavor's Mission,2021
Tokimeichatte Gomen ne?,2015
Among Us,2022
Cat and Bird,2005
Body Talk: Junai Yuugi,2009
"Please Leave, Hero!",2011
The Game of Points,2017
Nyotaika Plus Kanojo,2018
Chubby Honey: The Sadistic CEO and the Sweet Diet Supplement,2014
Berry Dynamite,2009
All I Want Is You,2020
Bleach 4-koma: Komaburi,2011
By a Deity's Side,2017
Rabuka,2021
Dare nimo Iwanaide,2012
Sweet vs Home,1996
Kyokou no Ou,2011
Kodoku na Tonakai,2012
Deai-kei Site de Imouto to Deau Hanashi,2017
Captain Tsubasa: Kaigai Gekitou-hen - In Calcio,2009
Joshi Chuugakusei x Hitodzuma,2017
"Prince, You Are So Cheap",2016
Venus ni Arazu,2009
Dark Fall,2021
Samurai Drive,2010
A Question of Pride,2004
Flip Flap,2000
Funbari no Uta,2007
Ashita mo Tanin,2008
Koishiteru!?,2006
Mail,1999
Aru Asa Okitara,2014
"Sayonara, Football",2009
The Doctor's Supremacy,2018
Grand General,2021
Love Ho na Kankei,2004
Beware the Kamiki Brothers!,2015
Hungry Joker,2012
"Zennin Ossan, Umarekawattara SSS Rank Jinsei ga Kakutei Shita",2019
Me o Tojite 3-Byou,2010
Maou na Ore to Ghoul no Yubiwa,2012
Akuma no Ichigo,2012
I Love BL Comics,2016
The Phantom King,2009
Aquarian Age: Juvenile Orion,2001
Metroid (2002),2002
The Box Man,2004
Nocturne (Tamotsu TAKAMURE),1998
Okane ga Nai,2002
Melty Blood X,2010
Soil,2004
Shoujo Tenshi Milcute,2005
Ao no Sekai,2004
A Tough Alpha Wants to Be Loved: Cornered by a Young Omega,2017
Sekai no Hate no Sougen de,2012
Sayonara Peter Pan,2017
Momoiro Tengu,2008
Nousatsu Beat de Utawasete,2008
Zangekikan,1987
Ms. Master,2018
A Woman's Orgasm is 10 Times Better!,2017
Imo-mushi,2009
Chouchou Kurabe,2001
Ni no Maeshii no Tsukaikata,2011
ReMember (Gonta KING),2010
Mashiroiro Symphony: Wind of Silk,2011
"Still, I Like It",2019
Naisho ja Tarinai yo,2012
Kreuz,1995
Kick no Onee-san,2010
Onedari Girl,2010
Ultrabaroque Deprogrammer,2006
Raven Burai,2017
Borderline Bestial Corpse,nan
Benkyou no Jikan,2008
Alterna,2008
Conbini of the Dead,2020
Pfeos,2020
The Rain and the Other Side of You,2014
Chiguhagu Lovers,2011
Magic Knight Rayearth Gaiden,1995
Bermuda,nan
Truly Refuse to Be a Witch,2021
Wonder 3,1965
I’m Sorry For Being Born In This World! (Novel),2016
Together With Woo Rae,2020
The Enchanting Villainess,2021
Breath,2003
God of Deception,2014
Takaramono wa Hako no Naka,2012
Kimi ja Nakya Dame Nanda,2009
Uchi no Tantei Shirimasen ka?,2007
Tonari ni Kedamono,2015
Infatuation Unwanted,2021
Gacha Girls Corps,2018
"Amefurashi - Shunu ni Shippori to Nureru, Ooedo Renaitan",2011
Secret (Yoshiki TONOGAI),2013
Yuusha to Maou no Love Comedy,2018
Manatsu no Nureta Toiki,2007
Ningyohime to Ouji-sama,2014
"Aishitekureru Hito ga, Ousama",2017
Kare to Kanojo no Chiguhagu,2014
Lilim Kiss,2000
Sakurada-senpai Kaizou Keikaku,2018
Fuyu no Hana,2008
Dragonar Academy (Light Novel),2010
Otomegokoro,2008
Uza Kawaii Kouhai to Ichaicha suru dake no Anthology Comic,2019
Misumisou,2007
The Amalfi Bride,2009
Chu-Bra!!,2007
Nina-san no Mahou Seikatsu,2016
Buttobi!! CPU,1995
Corrector Yui,1999
Boy & Cool,2010
Shiranui-san wa Oni ga Mienai,2015
"3P, Hajimemashita!",2015
Time Stranger Kyoko,2000
"Excuse Me Dentist, It's Touching Me!",2019
Part Timer Next Door,2020
Michizure Policy,2008
Maigo,2006
Romeo x Juliet,2007
Koibumi: Yamamoto Souichirou Tanpenshuu,2011
Sake to Joushi to Amai Kiss,2016
Memory Lost,2017
A Destined Meeting,2017
Sonna Koe Dashicha Iya!,2003
Shigekikei My Hero,2017
Sensei no Iinari.,2016
My House Servant Is Naughty and Cocky With Secrets...,2016
Re-animator no Ken,1989
Haikyo Circle,2010
The Beautiful Curse,nan
Level up,2013
Scandalous (ALMA),2016
Deep (Jin TAKEMIYA),2015
Dangerous Fiancee,2022
Junjou x Mousou Honey,2013
Mayonaka ni Kiss,2007
Mismatch Girls,2015
Limited Lovers,2004
Mikami-kun no Himitsu,2014
Saikyou Juzoku Tensei: Majutsu Otaku no Utopia,2018
My Little Lover,2002
Dispatch!!,1999
Soregashi Kojiki ni Arazu,1970
Himitsu no Bara Juujidan,2011
Ohana Moyou no One-Piece,2002
Tomorrow's Ulterior Motives,2007
A Single Match,1971
Ocean,2011
Heroes of the Spring and Autumn,2010
Kemunimaku,2019
King of the Gods,nan
Room Share: Living Alone with a Wild Host,2016
My Boyfriend's a Love-Zombie: The Pleasure Won't Stop!,2017
1001: Knights,2012
Boku no Kanojo-sensei,2019
Otomodachi kara Hajimemashou.,2012
Sore ga Kimi ni Naru,2009
Kanon: Honto no Omoi wa Egao no Mukougawa ni,2006
Watashi wa Tensai wo Katte Iru.,2016
Itsumo Utsukushii Anata To,2016
Special Class With Teacher on the Train,2018
Childminder,2016
Alto,2007
Issho ni Ofuro,2006
Love Sick,2008
Chikyuu Kanrinin,2001
Sen to Man,2012
Prince Cinderella,2020
Happy Mania,1995
One Day,2002
Chronos Ruler (Pilot),2012
Danshaku no Aijin,2011
Ijiwaru Houteishiki,2014
IC In A Sunflower,1994
Mada Shiranai Oretachi,2003
Amai Yajuu,2008
Transmigration Journal: The Making of a Star,2018
My Sister’s Duty,2020
Secretary and Young Master,2019
"My Demon Cry Baby, Maria",2018
Attaque,2011
Tensei Inja wa Hokusoemu,2020
The Housemaid,2019
Digimon Next,2006
Zhenniao,2015
"Kiss, Zekkou, Kiss",2001
Hizamazuite Ai wo Chikae,2008
Shinyuu Henjou!,2002
Kagakushitsu no Ouji,2005
Perfect Blend,2019
"Tensei Shitara Otomege no Sekai? Ie, Majutsu wo Kiwameru no ni Isogashii node Souiu no wa Kekkou desu.",2019
Flaming Hot Desire,2015
Devilman vs Hades,2012
A Tender Love,2018
Tantei Aoneko,1999
Triangle (Saori OOKA),2007
Son of the Mimura Family,2005
Chou Kochikame,2006
Pokemon the Movie: I Choose You! Remix,2017
The Beautiful Sumo Grand Champion: The Night I Was Defeated by His Secret Technique,2016
A Gay Video and a Huge Awakening: 7 Days Drenched in Man Juice,2012
You Me Her,2017
Mujaki no Rakuen Parallel,2017
Hanazakari de Koi Shiteru,2007
Yowamushi Mont Blanc,2013
"Orette, Tenshi",2006
Transjitter: Ibitsu na Karada,2018
After Morning Love,2008
Mikazuki Kottouhinten no Kaban Neko,2017
Saihate no Ao,2014
By Spring,2019
Usotsukitachi no Nagai Yoru,2015
Land Lock,2018
Aoi Futari,2003
Sukinara Sukitte Ieyo!,2002
Yan Zhi Cuo,2002
Kawaii Darling,2004
Sayuri,2010
Golosseum,2015
"Fireworks, Should We See It from the Side or the Bottom? (Light Novel)",2017
Isekai C-Mart Hanjouki,2017
Won't You Be Mine? An Eligible Bachelor's Pet Cinderella,2015
23-ku Tokyo Majo,2019
Lychee Light Club,2005
Absolute Control,2020
Isekai de Skill wo Kaitai shitara Cheat na Yome ga Zoushoku Shimashita: Gainen Kousa no Structure,2017
Egotist na Seishokusha,2000
Itoshi no Boukun,1999
Fire Emblem: Ankokuryuu to Hikari no Ken,1993
Gamblers Parade,2018
Jun: Shoutarou no Fantasy World,1967
The Vampire and the Bachelor Next Door,2013
My Wife is Unqualified,2018
Phantom: Requiem for the Phantom,2008
You're Gonna Have to Beg for It: After Hours with My Teasing Teacher,2018
Medusa-san Mitsumenaide,2019
Getter Robo G,1975
70% of First Love is...,2008
Gakuen Psycho-Pass,2014
Noda-ke no Oshie ni Yori,2015
"Shed that Skin, Ryugasaki-san!",2018
Access All Areas,2020
Aquaman,2016
"Odagiri-san ni wa, Kikirimai",2018
Megami-ryou no Ryoubo-kun.,2017
Wintertime Love,2007
The Black Museum: Springald,2007
Asobi ja Nai no,2007
Lovin' Your Face,2019
Honto no Kokoro,2017
Futsutsuka na Oyako de wa Arimasu ga,2012
Otome-Kikan Gretel,2007
Koaka Head,2010
Yume Miru Seiza,2007
Futari,2012
Kusoge Online (Kari),2016
Mobile Suit Crossbone Gundam: Skull Heart,2005
Reign of Desire,2018
Sayonara Watashi-tachi,2005
Zoombie City,2019
Room 303,2008
Everyone Stand Up! Boys Love Private High School Tachibana x Mizuki,2019
"Yours Truly is Sick, Love-sick",2018
Erotic & Romantic,2005
Toumei Ningen no Tsukurikata,2010
Koko Kara Saki wa NG!,2014
Kiss mo Shiranai Kuse ni,2014
Me (a Guy)... Lesbian!?,2015
Friends,2020
The Little Lady Tames the Leads,2021
Gekiryuuchi,2008
Kimi ga Aruji de Shitsuji ga Ore de,2007
"Ore de Ii no, Mito-kun",2017
The Honey-blood Beauty & Her Vampire,2018
Moon Walker LTD.,2010
Knights in the Night,2005
SWOT (Pilot),2009
One Summer in Italy...,2008
Light VS Shadow,2016
Fairial Garden,2008
Paradise e Oide yo!,2003
Today's Ulterior Motives,2004
Twinkle Loop Story,2011
Space China Dress,2011
Shinyaku Marchen,2015
Our Class Idol,2017
House of Dolls,2014
Monster Wrestling: Interspecies Combat Girls,2018
Our First Day,2020
Coming Out Note,2015
My Civil Servant Life Reborn in the Strange World,2022
Love Doll on My Doorstep,2016
Mairunovich,2010
Yasei no Bara,2003
16 Life,2009
Happy Yarou Wedding,2001
Barezuni Dekitara Gohoubiyaruyo,2018
Honeymoon Salad,1999
Rabuyan,2000
Mirai no Fu Fu Desu Kedo?,2018
Anata no Tame Nara Doko Made mo: Heian-chou Special,2011
Egg of the Elf,2012
Neon Genesis Evangelion: The Shinji Ikari Raising Project,2005
Don't Run Away from My Love: Childhood Friends No More,2019
The Events of Romeo's Household,2020
Double Hound,2014
Prince Charming's Fiance,2016
Restraining Order of Ant,2016
Every Morning At 8,2011
My Two Boyfriends: 18-Year-Old Eisuke and 28-Year-Old Eisuke,2016
Inattentional Blindness,2019
Paladin,2011
Batman: Child of Dreams,2000
Shinigami x Doctor,2013
The Lucky Guy,2019
Half & Half,2008
Charao-kun to Haraguro-kun no Himitsu,2015
Inu to Omawari-san,2006
Ayu Mayu,2007
"My Lover, The Writer",2013
Change the World: Kyou kara Satsujinki,2018
Tabetai Hito,2009
"Botsuraku Yotei nano de, Kaji Shokunin wo Mezasu",2017
SE,2013
Maze Age Z,2015
Houkago no Fujun,2011
Hitomi no Kotoba,2004
Igyoujin Oniwakamaru,2003
Shounen Y,2012
The Delicious Bakery's Part Timer,2020
Iinazuke Ryokan,2005
Kiritorisen,2013
Shuukaku no Juunigatsu,2011
Hansel and Gretel (Katsuhiro OTOMO),1981
"Toki Nazumi, Futari Nazumu.",2006
Ebiten,2008
Samurai Legend,1992
Forensic Princess,2018
Wangtangchang the Yurutto Hunter,2018
The Disappearance of Hatsune Miku (Light Novel),2012
Beauty Stock,2009
Himikoi,2008
Cat Fight,2019
Princess's Hundred Ways of Martyrdom,2021
Barairo no Kenkyuu to Hanakurafu Kimi,2014
The Wicked Queen,2017
"Woo Me, Properly",2019
Grimoire x Reverse: Tensei Kijin Romantan,2015
Organic Sons,2005
A Cup Of...,2007
"My Cousin, The Pushy Prince",2015
Yumekoi,2011
I'm Standing on a Million Lives,2016
Osoba de Misasete!,2009
Hello To My God,2016
Daisuki desu!! Mahou Tenshi Cosmos,2010
Ubatte Agemasu,2008
Ai wo Chodai!,2007
Di Gi Charat Theater: Dejiko's Adventure,2000
Kamisama ni Kago Futaribun Moraimashita,2019
Puchimon,2003
WANTE-D,1998
Acting on Impulse,2010
Ace no Kyuujitsu,2012
Ito Junji Kyoufu Manga Collection: Michi no Nai Machi,1990
From Concubine to Master,2016
Mobile Suit Gundam Wing,1995
&,2010
Evil Young Master Doesn’t Want a Bad Ending,2021
Gangs of School,2018
I Picked up a Demon Lord as a Maid,2019
Holding Onto Him,2017
Bouken Shounen,1998
This Wolf Won't Bite,2021
Another Year Together with the Cherry Blossoms,2015
The Desert Lord's Baby,2011
Okitenemuru,2014
Bankara,2010
Your Forest,2017
Tracy's Perfect Married Life,2016
Fox's Love Notebook,nan
Breakaway: Joys of Travel,2017
You Loved Me,2015
Cry Like Wolves,2012
One-Day Idol,2014
Anata ga Oshiete Kureta Koto,2005
Spas-Pa,2002
UP Gossip,2015
There's No Use Hanging On,2021
Dead Tube,2014
Hitomi no Dokusenyoku,2010
Akatsuki no Miko,2011
Tsuki ni Hoero,2009
Doutei no Ore wo Oshitaoshita no wa Osananajimi deshita,2019
Kamisama no Iutoori 0,2017
Courage,2016
Midori no Me,2009
Monkey Peak,2016
Eroge no Taiyou,2014
Kikimimi Zukan,2008
Sensei to 17-sai,2013
Cutie Honey a Go Go!,2005
Otokonoko Zukan,2003
Salaryman Futsumashi Okumura Yukio no Aishuu,2013
A Hole Craving to be Touched,2020
Love Potion (Kkam Nyang),2017
Garden Dreams,1999
The Ring 4: Birthday,1999
Jinrui wa Suitai Shimashita: Nonbirishita Houkoku,2011
Innocent W,2003
"Please, Marry Me!!",2013
Yorube Naki Mono,2008
Lime Odyssey: The Chronicles of ORTA,2012
Getsu in no Onmyouji,2012
Hajimari no Natsu,2011
Another 0,2011
The Last Saiyuki,2019
Migi Tonari no Uyko-san,2019
Hitomazu wa Horyuu,2019
I Am Alice: Body Swap in Wonderland,2012
Ane-Mone Seikaten,2009
Wagamama mo Kimi no Tame Nara Ikura Demo,2015
Hoozuki no Shima,2008
Reijou Hanayome Keiji Choukyou: Mukuna Tsubomi wa yoru Hiraku,2018
RWBY,2015
Life As A Dog-Man Owner,2015
Zankou Noise,2009
Astro Boy,1951
"One Day, Suddenly, Like Love",2009
Ato Hitoiki de Ai,2011
Toware no Mi,1997
Indecent Gentleman in the Fitting Room,2014
Isle of Forbidden Love,2007
Henjin Henkutsu Retsuden,1989
Honey Buddy,2014
Jazz,2004
10 Years in the Friend Zone,2018
Goshimei desu!,2009
My Girlfriend's a Geek,2007
3 Level Combination,2008
Ijiwaru na Kuchizuke,2008
Uchi no Hentai Maid ni Osowareteru,2018
My Vampire CEO,2018
Liebling!,2018
Black Rock Shooter Chan,2011
Tonari no Danshi,2007
Uncle from Another World,2018
Alice in the Country of Clover: Ace of Hearts,2009
Ato ni mo Saki ni mo Kimi dake,2011
Tale of Nezha,2010
The Overbearing CEO Wants a Hug,2019
Interval,2008
Amai Akuma ga Warau,2010
Dorothea,2006
Yume no Moribito,2014
Shoujotachi no Kaidan,2011
Devil Survivor 2: Show Your Free Will,2011
Cantarella: Ao no Dokuyaku,2011
Sleeping with the Enemy,2016
Murder Princess,2005
Lotus Eater,2009
Kodoku na Taka wa Hitokoishikute,2014
The Marine & The Princess,2010
Nakayoshi Wanko,2007
Dirty Pair,2010
Maerineun Uibakjoong,2009
Chara Otoko-san to Koi ni Nante Ochinai!,2019
Morbid Attachment,2021
Prone to His Teasing: Driven Wild By My Blind Date's Fingers,2016
Musunde Hiraite,2009
Tonari ni Kimi no Nukumori wo,2005
Kyou mo Kurosaki-san no Turn!,2019
A Royal Proposition,2006
"Let Me Sleep with You, Haruomi!",2019
My Alluring Husband,2020
Hataraki Man,2004
Taiyou wa Kimi ni Kagayaku,2003
Idol Dreams,1998
Mori no Animal Company,2007
Hiro-kun ga Sensei,2016
Ponkotsu no Tomodachi,2019
Iya da nante Iwasenai,2010
Before Daylight Love,2009
Koi ni Naru Nade,2008
Hanaukyo Maid Team,1999
Hiatari Ryoukou!,1980
Astral Project,2004
Jack Frost,2005
Only With Consent,2019
Ore no Mono ni Nareba Ii,2013
"My Dream, My Work",2010
Maou-sama Chotto Sore Totte!!,2011
Rebirth of the Urban Mad Immortal,2019
Carnaval Glare,2013
Beautiful Name,2005
Suki x Suki,2016
Caterpillar Operetta,2009
Immortal Reverence Dad,2019
Tokimeki no Seitokaishitsu,2002
The Italian's Price,2010
I'm the Demon King!,2010
Koi wa Genjitsushugi de Yumemigachi,2016
"Kimi wo Ubau, Kimi wo Aisu",2001
Kanjiru Special Order,2007
Dokidoki! Tama-tan,2009
Arcana 04: Vampire,2007
Soutaisei Renaidan,2004
"LOVE, etc",1997
Mozart wa Komoriuta wo Utawanai,2001
Kamisama Game,2007
Bitter Chocolate Kiss,2002
Ultraman Tiga,2003
Osomatsu-kun,1962
Strength,2012
Kami-sama to Amefurashi,2010
Kaiten!!,2011
Never Knew I Wanted,2016
Guren 5,2013
The Eccentric School Idol,2018
Sumikko no Futari,2013
S no Yuiitsu M no Zettai,2006
Kesshoku Impulse,2016
.hack//XXXX,2006
The President's Lovely Darling,2019
Tom Sawyer,2007
Yubikiri,2002
Gorgeous Carat Galaxy,2004
King of Masturbation!,2019
Spell,2003
Sprout,2005
Yeon Nom,2015
"Totsuzen, Doukyonin ni Marking Saremashita",2016
Tell Me You Like It,2019
Mind-Reading Princess,2019
Blue Ramun,2003
Yuusha Gojo Kumiai Kouryuugata Keijiban,2013
Gin no Kaze Tooi Toki,1996
Tandem Lover,2010
Apocalypse Zero,1994
My Mobster Girlfriend,2018
Sonna Kimochi Ga Koi Datta,2005
Ultras,2008
Orokamono ga Koi wo Shitara.,2015
C-Blossom: Case 729,2005
La Mosca,2008
Yu no Hana Tsubame,1997
"Isekai de Kojiin wo Hiraita Kedo, Naze ka Darehitori Sudatou to Shinai Ken",2018
Those Sexy Eyes Make Me Cum,2017
Fantastic Tales,2004
Tsuki wo Dakishimeru.,2005
Greed Packet ∞,2008
Downtown Shuffle,2000
Sanjin Sadou,2002
Ginban Kaleidoscope,2005
Trap (Song-A MIN),2013
Dark Cherry to Shoujo A,2012
Zetsubou no Rakuen,2018
Onedari Shite Mite,2016
Odoru Keikan,1987
Ole Golazo,2016
Ghost Gate,2021
Dark Walker (Light Novel),2000
Shousetsuka no Oborekata,2017
Little Miss Oblivious and Her Savage Darling,2016
Puella Magi Suzune☆Magica,2013
Seishun Re:Try,2016
Gakusou,2016
I've Been Here From the Beginning,2022
Mida Love♪,2016
"Shiboritoranaide, Onna Shounin-san",2019
Koi no Mannaka,2008
Delicious Blood,2021
No.9,2015
Alice (Ayumi KOMURA),2016
Marmalade Boy Little,2013
Real Fake Princess,2002
Rival ni Ki wo Tsukero,2005
Kamigami no Yama: Makyou no Mine,2014
Nakeru BL,2012
Ookami Nante Kowakunai!!,1987
Kurokuroku,2013
Unbalance na Netsu,2007
Kiss You Once A Day,nan
Uniquely You,2018
What is the Probability of Success of this Love?,2021
Mannaka no Ouji,2005
Sekai wa Kimi de Mawatteru,2013
Ah! Seishun no Koushien,1976
Something Happening,2014
Mobile Suit Zeta Gundam 1/2,2006
Ruff Love,2006
From a Near Miss Comes Love,nan
Kimen Douji,nan
Oni ga Warau,2013
Aki,2011
Boutique at 97 Sheldon Street,2020
Asanaga Ryuutarou no Midara na Nichijou,2013
The End of Youth,2008
"Suki ni Naranai yo, Senpai",2015
Over Image,2012
Cultivating the Supreme Dantian,2021
Hana wa Sakura yori mo Hana no Gotoku,2011
When I Woke Up I Became a Bagel Girl,2014
The Fudanjuku Story,2011
Hug!,2007
My Monster Lover,2019
Pussy King Sama no Akuheki,2019
Dageki Joi Saori,2008
Parallel Sailor Moon,1999
Kamen Teacher,2003
Kamitoki no Resist,2011
Fragment,2011
Renai Soukanzu,2005
Kioh x Kioh,2011
Mein Ritter: Watashi no Kishi,2012
Kagerou Days: Koushiki Anthology Comic - Upper,2013
Choudouryoku Mouko Daishuurai,2014
Miracle Gift,2015
Shugo Chara-chan!,2008
Shoujo Shounen Gakkyuudan,2007
Suki na Hito Hodo,2014
Stealth Symphony,2014
Onikiri Jyuzo,1998
Liar Game: Roots of A (One Shot),2010
A Bittersweet Life,2011
Ume Shigure,2006
Maid in Prince,2004
Love Song,2011
Ikenai Ezuke Keikaku,2009
Here is Greenwood,1986
Good Night (Writer Kang),2018
Starting With a Kiss,2010
Shiawase ni Narunosa!,2011
Dominion: Conflict One - No More Noise,1995
"Why Not, CEO?!",2020
Kill la Kill,2013
Yubisaki wa Koi no Aji,2008
Legend of Tyr,2008
Hakamori Majo Bianca,2012
Gomen Shitatte Yurusanai,2017
Nisekon: Danna Koyou Keikaku,2016
Stigmata,2006
"Himitsu, Hitotsu",2014
What To Do! I Have Become The Weakest Little Monster,2020
Kurenai no Ansatsusha,2015
Isekai Kakusei Chouzetsu Create Skill,2020
Haru ga Kita,2017
From Up Above,2006
ENT. Ore no Kagi ga Hazusareta K Noukai,2012
Two Household,2020
Open the Door to Your Heart,2003
"Level 0 no Maou-sama, Isekai de Boukensha wo Hajimemasu",2020
Tatoeba Sore wo Koi to Yobunara,2002
Saikyou no H,2002
Hair-Tail Fish and Mackerel,2005
Yabai Me de Minna yo!!,2013
Hitori Shizuka,2014
Koi o Kataranai Kuchibiru,2010
Smile Death Match,2017
My Servants and I,2017
Love Love Chu Chu,2017
Nikushoku JK Mantis Akiyama,2018
Shijuu Kabe no Heya,1995
Houkago Edge,2014
Bring it On!,2002
Nemurubaka,2006
Shin Violence Jack,2005
"3-byou, Sude ni Koi.",2015
Monster Soul,2006
King of Wolves,1989
Twinkle Cherry,2008
Jadou,2000
So I Married an Anti-Fan,2011
Anta Miteru to Muramura Sunda Kedo,2014
Biotop,2011
Datenshi ni Sasageru Uta,2008
Young Bad Education,2011
A Toast to Your Eyes,2017
Missile Happy!,2000
Yacchimonee,2015
Zenryou Naru Itan no Machi,2010
Gekkou Teien,2004
Kiss de Seiyaku,2014
Jasmine,2009
Kawaii Gatte,2003
You're the One I Want to Tease: A Cold Childhood Friend's Warm Fingers,2017
Tropical Citron,2001
His Barcode Tattoo,2017
"I'll Have My Cake and Eat It, Too.",2016
Lovesick,2000
Spicy Pink,2006
Ookii Kouhai wa Suki Desu ka?,2019
One Step Ahead,2018
Zero Count,2003
The Devil's Trill,2006
Saitei Megami,2012
Namida Hanamizu Gushogusho Danshi,2011
Sakana no Yume,2009
Gekkou Romance,2006
Hard-Boiled Cop and Dolphin,2020
Honenuki ni Saretai,2007
Puri Puri,2005
Captain Tsubasa: Rising Sun,2013
Ice Cream Bus,1993
Zero: The Beginning of The Coffin,2000
"Mamono wo Shitagaeru ""Teiin"" wo Motsu Tensei Kenja: Katsute no Mahou to Juuma de Hissori Saikyou no Boukensha ni Naru",2019
Crimson Grave,2006
ARK:Romancer,2014
How to Kill a Heart,2014
Granulated Sugar,2012
Akaki Tsuki no Meguru Koro,2010
My Wife is Daji,2019
Himitsu.,2010
Love Trial,2007
Nana Yuri,2012
Renai Game,2009
Eniro Cinderella,2005
Tensei Shitara Mura Musume datta,2018
Super Shared Boyfriend System,2019
Kimi to Scandal!,2004
Dr. wa Ijiwaru na Kiss de,2007
Haido Hakase no Jikan Note,2008
From Maid to Queen,2022
Bullet Armors,2010
Sabaku no Tami,1969
Saseyo Eroika,2015
Getsuei,2014
Jigokugata Ningen Doubutsuen: Daiisshou - Noushou Sakuretsu Girl,2013
Yarisugi Party Night,2017
Sentimental Honey,2007
Maleficarum: Darkstalkers/Red Earth,1997
Mobile Suit Gundam: Char's Counterattack - Beyond the Time,2010
Baptist,2008
Higajo no Mon,2013
Ichibanboshi Kirari,2015
Panfia,2017
Zankokuna Kimi ni Tomoni,2010
EX: Shounen Hyouryuu,1999
Witchblade,2006
Shoujo Eve Ringo Jikake no 24 Ji,2007
Locomoco,2011
Kuchimoto ni Akai no Tsuitemasu,2011
The Bond That Ties Us,2018
Love Junkies,1999
I'll Keep It a Secret So Let Me Do You: The Aggressive Guy Is My Co-worker and Sometimes Housekeeper,2017
Chigireta Heart,2003
You Turn Me on Non-Stop: My Appetite for My Wife Is Incredible!,2019
Super Hxeros,2017
Total Eclipse of the Eternal Heart,2015
Mr. Liar,2020
Trouble Love Candy,2004
Doll's Folklore,2011
LIttLE 13,2014
Hikari to Yami no Logic,2007
From Bite Marks to First Love,nan
Seishun Pop!,2009
Crash,1998
To Write Your Words,2016
A Straight Bartender in a Gay Bar!?,2015
Lord Snowhawk,2017
The Place Promised in Our Early Days,2006
Heaven Company,2004
Shounen wa Amaku Aisu,2005
Anata no Tonari ni Suwarasete,2004
Muriyari Wedding,2013
Remina,2004
Ou to Sokkin,2011
"100-nin no Eiyuu wo Sodateta Saikyou Yogensha wa, Boukensha ni Natte mo Sekaijuu no Deshi kara Shitawarete Masu",2019
Tiger's Wedding Day,2020
Zannen na Sasaki-san,2016
Futari Ecchi for Ladies,2003
Roman Gousha,2006
Gokupuri: Gokudou no Ouji-sama,2008
Golem Dungeon Rush,2020
Cultivation Return on Campus,2019
Kaerazaru Hyouga,1975
Peter Panda,2005
Seasons in Bloom,2016
She's Adopted a High School Boy!,2018
Kimi to Boku no Junjou Renai Jijou,2005
OOPARTS,2020
Otokonoko no Koto wa Nani mo Shiranai,2014
Majo wa Kaben wo mi ni Matou,nan
My Comeback War,2016
The Flower of Prencia,2020
Godly Mobile Game,2019
Cross Voice,2002
Kimi ni Sachi Are!,2004
11-gatsu no Gymnasium,1970
Wild Arms: Hananusubito,1999
Chitose Get You!!,2002
Doll: The Hotel Detective,1980
Clear Qualia,2006
Rozen Maiden: Dolls Talk,2011
Hakumei,1991
Hshs Sasero!!,2013
Falling For My Friend With Benefits: The Secret Dating App,2016
Koiiro Omoi,2007
Dakishimete Ii desu ka,2009
Meguraian no Kimi,2008
Classroom of the Elite √Horikita,2017
99% Cacao,2007
13th Boy,2004
Honey Bunny!,2000
Katsuai - Dakaretai,2001
Ashinaga Ojisama,2004
Hi-Fi Cluster,2014
Can We do it Harder?: A Too-Serious Man and a Tough 30-Year-Old,2018
Panty & Stocking with Garterbelt,2010
Satanophany,2017
Okosama Box,2015
Hit on By a Kinky Guy,2019
Koi no Amai Toko,2010
